,time,close,high,low,open,volume,baseVolume,datetime
0,1592499600,9405.0,9419.64,9388.36,9400.93,1286.04,12095176.36,2020-06-18 17:00:00
1,1592503200,9396.75,9410.3,9385.04,9405.0,1136.03,10676433.19,2020-06-18 18:00:00
2,1592506800,9397.99,9417.26,9335.5,9396.75,2506.6,23526524.83,2020-06-18 19:00:00
3,1592510400,9343.97,9404.28,9313.0,9397.99,2912.99,27274450.49,2020-06-18 20:00:00
4,1592514000,9371.28,9390.84,9280.0,9343.97,2704.21,25228386.65,2020-06-18 21:00:00
5,1592517600,9379.98,9395.0,9361.37,9371.28,1069.32,10027449.14,2020-06-18 22:00:00
6,1592521200,9386.32,9416.65,9367.65,9379.98,1178.04,11069363.24,2020-06-18 23:00:00
7,1592524800,9371.79,9388.71,9325.16,9386.32,2276.92,21314891.87,2020-06-19 00:00:00
8,1592528400,9323.45,9382.54,9317.81,9371.79,1631.47,15254992.09,2020-06-19 01:00:00
9,1592532000,9274.99,9341.98,9215.79,9323.45,3230.47,30012886.34,2020-06-19 02:00:00
10,1592535600,9274.26,9311.0,9239.45,9274.99,2577.86,23915258.67,2020-06-19 03:00:00
11,1592539200,9305.21,9330.57,9257.3,9274.26,1890.12,17582152.39,2020-06-19 04:00:00
12,1592542800,9326.85,9327.95,9300.54,9305.21,1199.92,11172884.94,2020-06-19 05:00:00
13,1592546400,9310.43,9335.02,9309.34,9326.85,1083.42,10099597.49,2020-06-19 06:00:00
14,1592550000,9299.52,9311.28,9258.18,9310.43,2285.65,21224282.8,2020-06-19 07:00:00
15,1592553600,9314.79,9324.21,9274.2,9299.52,1691.05,15728066.66,2020-06-19 08:00:00
16,1592557200,9363.57,9438.3,9314.79,9314.79,4133.19,38754095.45,2020-06-19 09:00:00
17,1592560800,9391.73,9394.99,9355.77,9363.57,1456.44,13654378.89,2020-06-19 10:00:00
18,1592564400,9385.84,9403.0,9369.58,9391.73,1767.54,16589734.39,2020-06-19 11:00:00
19,1592568000,9384.0,9423.0,9369.27,9385.84,2539.83,23876529.65,2020-06-19 12:00:00
20,1592571600,9389.99,9405.28,9365.0,9384.0,1492.89,14013398.1,2020-06-19 13:00:00
21,1592575200,9364.0,9398.47,9356.37,9389.99,1477.85,13864536.87,2020-06-19 14:00:00
22,1592578800,9383.32,9383.57,9346.27,9364.0,1297.4,12153559.63,2020-06-19 15:00:00
23,1592582400,9340.45,9386.83,9313.01,9383.32,2150.7,20092106.12,2020-06-19 16:00:00
24,1592586000,9313.19,9350.0,9288.26,9340.45,2150.27,20043051.89,2020-06-19 17:00:00
25,1592589600,9325.0,9342.64,9267.81,9313.19,2227.05,20720909.03,2020-06-19 18:00:00
26,1592593200,9307.37,9345.0,9305.02,9325.0,1169.8,10908031.98,2020-06-19 19:00:00
27,1592596800,9324.27,9324.32,9260.0,9307.37,2073.25,19265552.38,2020-06-19 20:00:00
28,1592600400,9331.5,9344.62,9290.0,9324.27,868.52,8089976.58,2020-06-19 21:00:00
29,1592604000,9300.0,9354.4,9287.36,9331.5,1185.06,11050679.34,2020-06-19 22:00:00
30,1592607600,9310.23,9319.36,9275.0,9300.0,1474.33,13705411.63,2020-06-19 23:00:00
31,1592611200,9302.24,9338.84,9292.29,9310.23,1182.76,11019827.9,2020-06-20 00:00:00
32,1592614800,9315.22,9329.0,9286.97,9302.24,927.21,8637313.27,2020-06-20 01:00:00
33,1592618400,9321.77,9326.15,9307.28,9315.22,746.74,6957566.94,2020-06-20 02:00:00
34,1592622000,9330.65,9350.0,9321.77,9321.77,897.85,8381696.1,2020-06-20 03:00:00
35,1592625600,9320.47,9333.42,9293.4,9330.65,980.19,9130797.77,2020-06-20 04:00:00
36,1592629200,9313.03,9331.01,9307.29,9320.47,598.6,5577459.95,2020-06-20 05:00:00
37,1592632800,9322.93,9332.42,9305.86,9313.03,833.7,7769483.92,2020-06-20 06:00:00
38,1592636400,9302.88,9327.91,9295.0,9322.93,1157.25,10775754.13,2020-06-20 07:00:00
